country,gauge_id
Mexico,hysets_10063
Mexico,hysets_26285
Mexico,hysets_11040
Mexico,hysets_12487
Mexico,hysets_18277
Mexico,hysets_28125
Mexico,hysets_27001
Mexico,hysets_18538
Mexico,hysets_18350
Mexico,hysets_18555
Mexico,hysets_12469
Mexico,hysets_26243
Mexico,hysets_10034
Mexico,hysets_12371
Mexico,hysets_12535
Mexico,hysets_20022
United States of America,hysets_04190000
United States of America,hysets_08447020
United States of America,hysets_01634000
United States of America,hysets_07027720
United States of America,hysets_06313400
United States of America,hysets_02173030
United States of America,camels_11528700
United States of America,hysets_01420980
United States of America,hysets_03540500
United States of America,hysets_11528700
United States of America,hysets_05567500
United States of America,hysets_08013500
United States of America,hysets_06817000
United States of America,camels_04045500
United States of America,hysets_14111400
United States of America,hysets_02160105
United States of America,hysets_02191300
United States of America,hysets_01562000
United States of America,hysets_05381000
United States of America,hysets_02326500
United States of America,camels_11522500
United States of America,hysets_11522500
United States of America,hysets_09304500
United States of America,hysets_02052000
United States of America,camels_02472000
United States of America,camels_11473900
United States of America,hysets_02472000
United States of America,hysets_03378900
United States of America,hysets_11473900
United States of America,camels_08190000
United States of America,camels_07142300
United States of America,hysets_06452320
United States of America,hysets_04189950
United States of America,hysets_05123750
United States of America,hysets_07018100
United States of America,hysets_11046000
United States of America,hysets_05594000
United States of America,hysets_07372050
United States of America,hysets_06799450
United States of America,hysets_11401500
United States of America,camels_10242000
United States of America,hysets_02173000
United States of America,hysets_05472500
United States of America,camels_05057200
United States of America,hysets_05057200
United States of America,hysets_04165500
United States of America,hysets_06471200
United States of America,hysets_06791500
United States of America,hysets_02040000
United States of America,hysets_07018000
United States of America,hysets_07143300
United States of America,hysets_11336000
United States of America,hysets_02238000
United States of America,camels_02231000
United States of America,hysets_03069500
United States of America,hysets_07077380
United States of America,hysets_09372200
United States of America,hysets_02231000
United States of America,hysets_06175000
United States of America,hysets_02443500
United States of America,camels_12189500
United States of America,camels_03069500
United States of America,hysets_12189500
United States of America,hysets_06309075
United States of America,hysets_02134170
United States of America,hysets_05482300
United States of America,hysets_06787000
United States of America,camels_03281500
United States of America,hysets_03281500
United States of America,hysets_06307740
United States of America,hysets_07031660
United States of America,hysets_06799100
United States of America,hysets_02455900
United States of America,hysets_01371500
United States of America,hysets_06783500
United States of America,hysets_03604400
United States of America,camels_08189500
United States of America,hysets_01642190
United States of America,hysets_09415550
United States of America,hysets_02479160
United States of America,hysets_09361500
United States of America,hysets_08189500
United States of America,hysets_07031650
United States of America,hysets_04111000
United States of America,hysets_04071000
United States of America,camels_08190500
United States of America,hysets_09470500
United States of America,hysets_06858500
United States of America,hysets_06898000
United States of America,hysets_08190500
United States of America,camels_04122500
United States of America,hysets_06308400
United States of America,hysets_04087010
United States of America,hysets_07346070
United States of America,hysets_06154550
United States of America,hysets_08130700
United States of America,hysets_04292500
United States of America,hysets_02109500
United States of America,hysets_03532000
United States of America,hysets_02387000
United States of America,hysets_04212100
United States of America,hysets_05410500
United States of America,camels_02361000
United States of America,hysets_02361000
United States of America,hysets_13319000
United States of America,hysets_05525000
United States of America,hysets_07157940
United States of America,hysets_01543500
United States of America,camels_01144000
United States of America,hysets_05410490
United States of America,camels_01543500
United States of America,hysets_01144000
United States of America,hysets_02173500
United States of America,hysets_06154500
United States of America,hysets_07106000
United States of America,hysets_04122500
United States of America,hysets_03434500
United States of America,hysets_01498620
United States of America,hysets_12424000
United States of America,hysets_02106500
United States of America,hysets_05593945
United States of America,hysets_06794000
United States of America,hysets_03448000
United States of America,hysets_01611500
United States of America,hysets_09499000
United States of America,camels_14301000
United States of America,hysets_03490000
United States of America,hysets_14301000
United States of America,hysets_12370000
United States of America,hysets_06607200
United States of America,hysets_03301000
United States of America,hysets_09400562
United States of America,camels_06188000
United States of America,hysets_06188000
United States of America,camels_05120500
United States of America,hysets_02131500
United States of America,hysets_06326600
United States of America,hysets_02034000
United States of America,hysets_05313500
United States of America,hysets_07036100
United States of America,hysets_11519500
United States of America,camels_05584500
United States of America,hysets_06101560
United States of America,hysets_02227500
United States of America,hysets_02316000
United States of America,hysets_07110400
United States of America,hysets_11463500
United States of America,hysets_10152001
United States of America,hysets_07290650
United States of America,camels_07290650
United States of America,hysets_05584500
United States of America,hysets_09349800
United States of America,hysets_09306222
United States of America,hysets_01606500
United States of America,camels_01606500
United States of America,hysets_09381800
United States of America,hysets_07375500
United States of America,hysets_02024000
United States of America,hysets_02198000
United States of America,hysets_06820410
United States of America,hysets_09304200
United States of America,hysets_03421000
United States of America,hysets_14308600
